text,intent,urgency,department
How can access the population of the children,Population,medium,data_registry
What is our population,Population,medium,data_registry
Is the population for both boys and girls,Population,medium,data_registry
The population (girls/boys) is still reading 0/0..,Population,medium,data_registry
What can I do when we stay with children for months without receiving their admissions,Admission,medium,data_registry
population in the admission column can capture or neither can they report nil for those months.,Admission,medium,data_registry
What can I do when we stay with children for months without receiving their admissions,DataSubmission,medium,data_registry
children admision not received,DataSubmission,medium,data_registry
will we then be submitting monthly/quarterly or annually?,Admission,medium,data_registry
is there self discharge,SelfDischarge,high,case_management
what is self discharge,SelfDischarge,high,case_management
children do escape will you capture them as exit?,Escapeofchildren,high,case_management
where will children who escaped be classifield,Escapeofchildren,high,case_management
what is excape part of,Escapeofchildren,high,case_management
is escape exit or discharge,Escapeofchildren,high,case_management
is escape exit,Escapeofchildren,high,case_management
is escape discharge,Escapeofchildren,high,case_management
what about a child who has been taken by police to court,ArrestedChildren,high,case_management
What can I do when a child is arrested,ArrestedChildren,high,case_management
can a child is arrested for more than five days be declared as an exit,ArrestedChildren,high,case_management
arrested,ArrestedChildren,high,case_management
child in prison,ArrestedChildren,high,case_management
child is imprisoned,ArrestedChildren,high,case_management
Please advise I am stuck and can't proceed to fill the case record sheet coz there's is no values,Recordassess,medium,data_registry
At what conditions will the child remain in a remand,Childreninremand,high,case_management
What happens when child is remanded,Childreninremand,high,case_management
Can children under the age of 18 be remanded,Childreninremand,high,case_management
I wish to register new staff,Registrationofstaff,low,data_registry
register staff,Registrationofstaff,low,data_registry
I wish to register is a children Assistant 11.,Registrationofstaff,low,data_registry
There is a challenge at the point of selecting the cadre of our staff,ChallengesOfStaff,low,training_admin
staff cant select fields,ChallengesOfStaff,low,training_admin
How do I search for a child in the system,ChildSearch,medium,case_management
How do I find child details in the system,ChildSearch,medium,case_management
Please guide on how to search for a child,ChildSearch,medium,case_management
What happens when you transfer children to another institutions,ChildTransfer,high,case_management
Can you transfer a child to other institutions,ChildTransfer,high,case_management
Am unable to transfer a girl from reception to rehab is it transfer in or re-admission,ChildTransfer,high,case_management
how do I know the transfer is successful,ChildTransfer,high,case_management
Can a child be transferred from a Remand directly to a Rehabilitation without passing through a reception center?,ChildTransfer,high,case_management
when creating work force where do we place teachers,AddStaffTeacher,low,data_registry
The system doesn't recognize teachers,AddStaffTeacher,low,data_registry
when I discharge some children from institution some disappear from pending cases,ChildDischarge,high,case_management
What type of discharge when the subject is committed to prison or remand,ChildDischarge,high,case_management
The system doesn't recognize teachers,ChildDischarge,high,case_management
How do you admit child who had already escaped?,ChildReaddmission,medium,case_management
How do you readmit a child who escaped and captured,ChildReaddmission,medium,case_management
How do you readmit a child that has come in with a new case,ChildReaddmission,medium,case_management
What happens in registration of children from outside Kenya under the location part,ForeignChildRegistration,high,case_management
the child is not a kenyan,ForeignChildRegistration,high,case_management
nationality is not kenya,ForeignChildRegistration,high,case_management
child from another country,ForeignChildRegistration,high,case_management
country not kenya,ForeignChildRegistration,high,case_management
What is the list of child offenders,ChildOffendorList,medium,case_management
What is the list of existing sub categories under child offender;,ChildOffendorList,medium,case_management
Child offender crimes,ChildOffendorList,medium,case_management
I admitted children yesterday they are shown as pending in the dashboard. What did I do wrong,AddmissionDelays,medium,data_registry
Can not see the child i created,AddmissionDelays,medium,data_registry
I admitted children yesterday they are shown as pending in the dashboard. What did I do wrong,ChildDischarge,high,case_management
What is the list of existing sub categories under child offender;,ChildDischarge,high,case_management
Child offender crimes,ChildDischarge,high,case_management
I have cases of children whom were granted leave of absence now they are back and on institution placement,ChildLeave,high,case_management
How should i register children who are back from leave,ChildLeave,high,case_management
found out that these children were deleted from the system instead of being discharged. I would like to know why?,PopulationUpdate,medium,data_registry
"The record in the website seems to have been deleted, please advise",PopulationUpdate,medium,data_registry
"Could you please assist, am following on a record and it says the record does not exist in the database",PopulationUpdate,medium,data_registry
How can i generate a unique serial number for my region that will be different from other regions,ManageAdministrativetasks,low,training_admin
kindly send the reporting tools for my region,ManageAdministrativetasks,low,training_admin
How do I copy the formulas?,ManageAdministrativetasks,low,training_admin
Are we supposed to continue in the same workbook?,ManageAdministrativetasks,low,training_admin
How should we send the excel tool A,ManageAdministrativetasks,low,training_admin
We have noted that the majority of the offices submitted the monthly caseloads using the old version of Tool A.,ManageAdministrativetasks,low,training_admin
Please unlock my account,accountunlocking,low,ict_support
"I cant access my account, plaese help me access it",accountunlocking,low,ict_support
how can access my locked account,accountunlocking,low,ict_support
I'm not able to access CPIMS. Any help.,CPMISaccess,low,ict_support
I have been having problems with CPIMS as far as logging is concerned,CPMISaccess,low,ict_support
Invalid literal for int() with base 10:'undefined,systemerror,low,ict_support
Still getting the same error message,systemerror,low,ict_support
The person in charge cannot view a child who was created by someone else under them or view a child see which Sub County they were created in,systemerror,low,ict_support
"Hi, my computer has crashed.",systemerror,low,ict_support
can we get someone technician to check on our machine any referrals please,systemerror,low,ict_support
I'm trying to access CPIMS but I'm getting a 503 error Service Unavailable,systemerror,low,ict_support
Is the system currently working?,systemerror,low,ict_support
Can you add a rescue center from another region?,addrescuecentre,low,data_registry
My rehabilitation center is not on the list,addrescuecentre,low,data_registry
I cant view a case referred to me that was recorded by someone else because names cannot confirm a child we might end up with many double registration,personregistry,medium,data_registry
I still can't edit a case that was done by my predecessors so what do I do if it doesn't have all the information and I want to update,personregistry,medium,data_registry
I am unable to register new child data. It's hanging. Your assistance please.,personregistry,medium,data_registry
How can i view children so that we can tell if its the same child to avoid duplication,personregistry,medium,data_registry
case history of the child and family background are missing as i generate a social inquiry,missinginformation,high,case_management
The system is also not generating a referral,missinginformation,high,case_management
We have cases of children aged -1 years and up to 41 years.,missinginformation,high,case_management
DoB earlier than date case reported.,missinginformation,high,case_management
Missing DOB/Invalid DOB,missinginformation,high,case_management
Age in appropriate cases,missinginformation,high,case_management
Gender incompatible cases,missinginformation,high,case_management
Missing intervention (pending cases),missinginformation,high,case_management
Where can I report crime alerts real time for realtime response from security agencies.,crimereport,high,case_management
Which code should I use to log in the platform,crimereport,high,case_management
How should i report a crime,crimereport,high,case_management
Will my identity be anonymous to the security,crimereport,high,case_management
How much will the message cost,crimereport,high,case_management
How can one be  Dcs officer,onlinetraining,low,training_admin
Will there be certificates of participation,onlinetraining,low,training_admin
"I have no one to do the CPIMS, most of the managers have not been trained",onlinetraining,low,training_admin
Why are there differences between the excel tool caseload reporting and the caseload in the CPIMS,aligningcaseloads,medium,case_management
Some sub counties have nil entries running to many months.,aligningcaseloads,medium,case_management
Does this data include case management or rather concluded cases or just entries in the system?,aligningcaseloads,medium,case_management
Which caseload should we return?,aligningcaseloads,medium,case_management
How can we clear the backlog within this quarter,CPIMSstatusreport,low,ict_support
The picture does not look good for a number of SCCO,CPIMSstatusreport,low,ict_support
Should we include offices with zero data in the report,CPIMSstatusreport,low,ict_support
Forward the soft copy of the case record sheets.,Emailaccess,low,ict_support
i have not received the email,Emailaccess,low,ict_support
The email has not been fowarded to me,Emailaccess,low,ict_support
When will you proceed for leave.,leavedays,low,training_admin
when is our leave,leavedays,low,training_admin
How can i search for a child in this updated system,systemfunctions,low,ict_support
How can i find the history of a child,systemfunctions,low,ict_support
How can i print the record and institution details of a child,systemfunctions,low,ict_support
I cant find the services in the updated system,systemfunctions,low,ict_support
I cant find the attached files on the dashboard,systemfunctions,low,ict_support
Am I able to see some of the cases captured,systemfunctions,low,ict_support
What is the need for recurring cases,recurringcases,high,case_management
How do I handles recurring cases,recurringcases,high,case_management
How comes boys are have cases of pregnancy,genderissues,high,case_management
How do I handles recurring cases,genderissues,high,case_management
Where can i get the CPIMS user manual guide,usermanual,low,training_admin
How can I access the audio of the CPIMS user manual guide,usermanual,low,training_admin
How comes boys are have cases of pregnancy,upda,medium,data_registry
How do I handles recurring cases,upda,medium,data_registry
Please create CPIMS accounts for the children officers in the various sub countries,createcpmisaccounts,low,ict_support
Dear SCCO please create accounts for all the new officers trained in CPIMS,createcpmisaccounts,low,ict_support
The CPVs are having challenges to login into the Vurugu mapper App. The App is asking for a PIN to log in. Some didn't register with the PIN but those who did even after keying in it are not accepting,CPVs,high,case_management
Kindly someone to help in unlocking my account,UnlockingAccount,low,ict_support
Please unlock my account,UnlockingAccount,low,ict_support
please my account is locked I need assistance,UnlockingAccount,low,ict_support
I cant log in into the live system using the default password 1234,LiveSystem-access,low,ict_support
Having problems with login in the live system for the first time,LiveSystem-access,low,ict_support
Hello can I get assistance in the opening of the live system,LiveSystem-access,low,ict_support
How to join live system,LiveSystem,low,ict_support
How can I access live system,LiveSystem,low,ict_support
who are allowed to use live system,LiveSystem,low,ict_support
When will I be allowed to access live system,LiveSystem,low,ict_support
how to deactivate an account,passwords,low,ict_support
How to activate an account,passwords,low,ict_support
I cant log in into the live system using the default password 1234,passwords,low,ict_support
My account also requested for account password reset,passwords,low,ict_support
What can you do for me?,help,low,general
have a complaint,complaint,high,case_management
I want to raise a complaint,complaint,high,case_management
there is a complaint about a service,complaint,high,case_management
"Hi, some help here. This Excel tool I've received still reads 2016, I thought it should be 2017 now?",DataEntry,medium,data_registry
I have downloaded and rechecked even some  of the other sub counties and still 2016,DataEntry,medium,data_registry
Population as at September is increasing team advice,Population,medium,data_registry
how will population be captured since,Admission,medium,data_registry
how will population be captured since,DataSubmission,medium,data_registry
population in the admission column can capture or neither can they report nil for those months.,DataSubmission,medium,data_registry
Self-discharge....is there such a thing?,Escapeofchildren,high,case_management
Will a child is arrested for more than five days be declared as an exit,ArrestedChildren,high,case_management
There is a challenge at the point of selecting the cadre of our staff,Registrationofstaff,low,data_registry
How do you admit child who has already escaped?,ChildReaddmission,medium,case_management
What is the list of existing sub categories under child offender;,AddmissionDelays,medium,data_registry
Child offender crimes,AddmissionDelays,medium,data_registry
Child offender crimes,ChildLeave,high,case_management
WHow can i search for a child in this updated system,systemfunctions,low,ict_support
Hello can I get assistance in the opening of the live system,LiveSystem,low,ict_support
"Dear team, kindly click on this link to view and download the photos. Remember the photos will be accessible by anyone who has the link, so kindly don't share it with anyone who was not part of, or is not in anyway related to the training. If you need your photos taken down please let me know straight away (via my inbox). Thank you",photos,low,data_registry
Hello kindly clear history n caches of your browser na kama huezi use another recommended browser,greeting,low,general
Thanks am sorted,thanks,low,general
Hello any updates regarding the transport,upda,medium,data_registry
"Type place of service,then click add service.",help,low,general
Thanks for the add.,thanks,low,general
Welcome madam Miriam SOS Hqs.,help,low,general
Still on process,help,low,general
For the transport fare colleagues am getting in touch with world vision.,payments,medium,training_admin
"Members this is a group to reflect the implementation of cpims not any other business. Take note of that, blessed day.",help,low,general
"Hi colleagues, am following yr payment be assured you will paid soonest possible.",payments,medium,training_admin
Great that your working let's keep on pressing colleagues.,help,low,general
Keep on pressing hard before next year.,help,low,general
Sure am trying my best but I sent this down here for somebody to explain what next,help,low,general
"Next step, , manage the case by pressinging , , black boxes",help,low,general
"Hi team, kindly assist can l use the live system now? because I have enough practice.",LiveSystem,low,ict_support
Marere for you this was a refresher just go back to the live system since you already have an account.,LiveSystem,low,ict_support
The live system is for the actual cases however anytime you want to practice and teach your colleagues you will have to use the test system.,LiveSystem,medium,ict_support
Should be OK now.,help,low,general
Hello kindly i ask the group admin to add this no 0799691532 because have changed my number,greeting,low,general
"Merry seasons colleagues,am on knowhow that world vision didn't reimburse social workers transportation a situation which is very sad and discouraging.",payments,low,training_admin
Thank you sir for giving us this information,thanks,low,general
"Thank you Sir, and continue having a Merry Christmas season.",thanks,low,general
Kindly add shadrack to respond to the payment issues here..0712471694,payments,medium,training_admin
That's true be patient you will be reimburse and wv has assured me. Has I assured you WV as an organization has integrity and you will paid soonest.,payments,medium,training_admin
"Am handling the issue ,so no need we are not in war ,money will be paid.Relax.",payments,medium,training_admin
"Philip, send the list of the Social Workers to me and Ochieng. We may follow up with World Vision HQ.",help,low,general
"Thanks sir ,but the issue is being addressed by the manager here .please with all respect sir.lets give him time as he has promised and I have faith he will deliver soonest possible.",thanks,low,general
"Am sorting out the issue Mr. Nzenge..Kindly assure the team their allowances will be paid. All payment documents are with our finance team and they may receive payments anytime...We are a christian organization, we value integrity and transparency in all our undertakings.",payments,medium,training_admin
That's the text from shadrack -Wv to assure the members he is doing keen following.,help,low,general
Please I need your help why is it showing negative and not counting in the dashboard,help,low,general
Good morning group Happy 2021,greeting,low,general
"*Dear All,* today marks my last working day with the CPIMS project. Its been 4 years of growth and fulfillment. I wish to thank everyone for the support acorded as we collectively worked towards rollout and perfecting of the system.",help,low,general
Happy New Year to you too. Mr. Mbai thank you for your commitment and dedication to CPIMS.,thanks,low,general
Thanks have received the money from world vision.,thanks,low,general
Same here. Thank you,thanks,low,general
Thanks world vision I have received the cash may u be blessed and pig up for ur transparency,thanks,low,general
Thanks WV I received the money.,thanks,low,general
Payment received....Shukran,payments,medium,training_admin
Thanks world vision I have received the cash may you blessed,thanks,low,general
"All the best in your future endeavours sir. We appreciate your invaluable support, and will keep applying the skills you instilled in us to improve child protection in Mombasa county and beyond.",help,low,general
Thanks have received,thanks,low,general
Thanks av received the money,thanks,low,general
Wengine no waluyia!!!! Kizungu na meli kikaja!!!,help,low,general
"Wengine ""ni"" not no.",help,low,general
"Wavumilivu hula mbivu! Thanks WV i have received.... To all the Directors, Managers, Social workers, Volunteers e.t.c. of all institutions in this group do have a Safe New Year as we count hours to embrace 2021 ...",thanks,low,general
Amen and you too.,help,low,general
Thanks have received,thanks,low,general
Much appreciations World Vision.,help,low,general
"Thanks a lot world vision fraternityI got the money ,gratitude extended to our officers who did the follow up",payments,low,training_admin
Happy happy new year in did,help,low,general
Happy new year..,help,low,general
Happy new year madam,help,low,general
Happy new year too let's remember to get back to work CPIMS is waiting,help,low,general
I wish you all a happy newyear🤩🤩🤩 have a prosperous 2021🥰🥰🥰,help,low,general
what is the issue,help,low,general
it seems u r using a live system,LiveSystem,medium,ict_support
I want to register my people in the live system,LiveSystem,medium,ict_support
What is the coz I know we are supposed to register the kids in the live system and submit,LiveSystem,medium,ict_support
What could be the issue coz have put my username and password but still showing me it's not correct,passwords,medium,ict_support
So I have to go to the office,help,low,general
Admn plz add this no 0723202266,help,low,general
Whose number is it?,help,low,general
"My director, Barnabas home",help,low,general
I have sent him/her an invite,help,low,general
"Hi Mr Philip,I hope that you have started the",greeting,low,general
I am trying to log in child protection the live stream using my user name and password same for the test but it's not adding up. Please help.,passwords,low,ict_support
We were told our sub county officers to log us on live stream so I think you passbye the children's department office,livestream,low,ict_support
I am there and it's not working at all,systemerror,high,ict_support
"Any one who has already started using the live stream, please help",livestream,medium,ict_support
Lias with your area children officer for help,help,low,general
Also I will try to ask my area officer,help,low,general
Kindly let our sco explain to us we are running out of time,help,low,general
"Leave it to ""Please Select"" as it is not mandatory.",leavedays,low,training_admin
For the users being asked for CHV and CBO details while registering children in Registry there are two solutions;,help,low,general
*second question,help,low,general
"Evening colleagues,hope your fine and we are back to service as per calling.",help,low,general
Good evening to you sir thanks for that update.Happy new year you too and have good night.,upda,medium,data_registry
Noted Sir thanks,thanks,low,general
Happy new year too,help,low,general
This will be a great move...we have been waiting for this to happen,help,low,general
Hello all. Happy New Year. Am happy to note that CCI in Mombasa are ready to move to the live system. We are eagerly waiting for the data from CCIs to enter the live system.,LiveSystem,low,ict_support
"Hello Team, based on our promise during the training, we are making arrangements to produce the certificates. Please confirm your names you would like them to appear in the certificate from the list below.",onlinetraining,low,training_admin
CPIMS END USER TRAINING FOR CCIS IN MOMBASA COUNTY,onlinetraining,low,training_admin
No. 12 Confirmed. Thanks in advance,thanks,low,general
No. 19 confirmed,help,low,general
No. 16. *FELIX MWEU MULEI*,help,low,general
No.3 Juma said kawthari,help,low,general
No. 44 confirmed,help,low,general
29. It's FAITH W. KARIGOH - CALVARY,help,low,general
No.20. BENARD OUMA AKONGO,help,low,general
No.17 NELLY KHAVUGWI OSALEH - FOOTSTEPS,help,low,general
No.39 confirmed.,help,low,general
No.18 confirmed.,help,low,general
38 winnie akinyi Amollo,help,low,general
No. 26 confirmed,help,low,general
No. 43 Roda Wakio,help,low,general
No. 28 confirmed,help,low,general
Good morning Mr.Ogindo..trust you are well and hopingvthecteam is doing great.. has the team migrated to live system.. Asante,LiveSystem,low,ict_support
No 6.NJERI MARY confirmed,help,low,general
# 36 is in order,help,low,general
No.13 to appear as PHOEBE MILLICENT ANYANGO,help,low,general
22. Confirmed thank you,thanks,low,general
No.37 Anthony chivatsi Chai - Baraka Children home,help,low,general
No.2.MOHAMED MOHAMED MARERE .LIKONI REHABILITATION SCHOOL.,help,low,general
No. 30 confirmed,help,low,general
23...KEVIN OLUOCH ODERO.....,help,low,general
No. 11 ELIZABETH ZAWADI KENGA,help,low,general
10.SALOME MUTHONI HOUSE OF HOPE,help,low,general
Mtu anaingia vipi Kwa live system,LiveSystem,medium,ict_support
Sure please someone help,help,low,general
Once you hit the target of the tests we agreed on the SCCO will register you on live.,help,low,general
How much is the maximum number,help,low,general
Morning Sir! I have to hit which target of the tests on SCCO to be registered live?,personregistry,low,data_registry
All these were agreed upon during the meeting,help,low,general
How..........many aky please assist ur fellow,help,low,general
"Hello all , for those who have not confirmed their names the way you would want them to appearin your certificate, please do so urgently",greeting,high,general
39. FAITH W. KARIGOH,help,low,general
Number 42. SUSAN ALIERO - child of mercy...confirmed,help,low,general
What...I thought that after practicing with my colleagues n they master then we go live....so we are to enter all our beneficiaries... pulling up our socks now,LiveSystem,medium,ict_support
Hello team Mombasa. Below is a screenshot for the cases as at today. Highlighted CCI’s have achieved a caseload of 15 cases and above.,Population,low,data_registry
"Dickson,I have reached the target and not highlighted can I go on with the test?",help,low,general
Elaborate more on this coz we are waiting for our accounts to be activated,ActivateDeactivate-account,low,ict_support
Kindly assist Upendo Children's home to unlock the account.,accountunlocking,medium,ict_support
Can I now create a new password?,passwords,medium,ict_support
Follow the following steps to do self reset.,notAbleToReset_Password,medium,ict_support
Send your email address.,Emailaccess,medium,ict_support
pabwaoh@gmail.com,Emailaccess,medium,ict_support
You can now use it to reset your account,notAbleToReset_Password,medium,ict_support
Thanks...It was successful,thanks,low,general
Hello can I get assistance in the opening of the live system it's much time and there is no immediate response please let know how to go about it,systemfunctions,low,ict_support
Hello can I get the technicians to go about activating my live system if I can get that help I will appreciate I want to leave for school please kindly anyone,LiveSystem,low,ict_support
username given to you?,help,low,general
Anthony chivatsi Chai - Baraka Children Home,help,low,general
SCCO Please communicate the accounts you have created on live CPIMS for the respective CCIs as most of the queries here are because they have not been created yet but the users are trying to log in to the system.,login,medium,ict_support
Please contact your SCCO for the details. Most of these accounts have not been created yet.,help,low,general
Have gone to office till today I have got no feedback,help,low,general
Refresh your browser,help,low,general
Steps to refresh please,help,low,general
Press F5 on your computer.,help,low,general
Thanks let me try,thanks,low,general
Have pressed F5 still same problem,help,low,general
Thanks successful,thanks,low,general
Hope I am done with testing,help,low,general
To Social workers working for CCIs in Kisauni and Nyali. Kindly inbox me stating,Emailaccess,medium,ict_support
OK ! Will do that,help,low,general
Thanks for the guidelines Beatrice,usermanual,low,training_admin
1. Name of CCI: Calvary Zion Children's Home.,help,low,general
Good afternoon ...what causes duplication of persons when placing in the institution?,greeting,low,general
How do I get to the live Sistem,systemfunctions,medium,ict_support
The cpims live site seems to have gone for lunch break for the last few minutes. Kindly check,help,low,general
The automatic check will stop it and will be ok in the next 5 minutes.,help,low,general
Confirmed. Back and running,help,low,general
Getting this error,systemerror,low,ict_support
It's sorted. Logs clean up everyone is doing data entry after the Memo.,DataEntry,medium,data_registry
Help me please..........how do I get to the live system,systemfunctions,medium,ict_support
Below is the list of the CCI registered in the live system in the respective sub-counties;,LiveSystem,medium,ict_support
NYALI SUB-COUNTY CHILDREN OFFICE,help,low,general
"Thanks for the update,Wema Centre is appearing on both Kisauni and Nyali sub-counties",upda,medium,data_registry
Hello please I have not find my home Mr. Newton my home is restoration ophanage ........aky please assist me,help,low,general
I send my details to Dr maina but I have not got the feedback........ please Mr.Newton assist me,help,low,general
"Hi All as you input the admission numbers please don't add the numbers to the default XXXX/YYYY as in examples XXXX/YYYY012/2009, XXXX/YYYY012/2009 and XXXX/YYYY006/2005. Just put the numbers 012/2009, 012/2009 and 006/2005 as in the examples.",Admission,low,data_registry
Hello some help please at the medical history of the child if he has sickle cell anemia what options will one pick coz it's not in the system,greeting,low,general
Hello I have a question the place of the contact person are filling for the directors or the parents to the child,greeting,low,general
"Nuru and Restoration created...the remaining homes kindly inbox some like thisName of social worker, their Id and email",Emailaccess,medium,ict_support
I sent the details for Dickson@mr.maina,help,low,general
Hello........I need some.....ar we putting the password and username to the previous account can someone assist me,passwords,low,ict_support
How do i go to the live system,systemfunctions,medium,ict_support
Live.childprotection.go.ke,help,low,general
Is this correct?,help,low,general
Yeah but if ur account is active,help,low,general
"It's not functioning, the site is offline till 12th Feb, is their a problem or it's my account",systemfunctions,medium,ict_support
It was communicated that the site will be offline this week until Friday.,help,low,general
There is an update on the system,upda,medium,data_registry
"Plz can someone help me, are we using the same details to log in live system",login,medium,ict_support
Once a new account is created you will use the new details provided by the person who registered you.,createaccount,medium,ict_support
My account is locked,accountunlocking,medium,ict_support
No such account in the system please check with the person who created you.,help,low,general
"Just wanted to join, have not been there",help,low,general
How can it join live system,LiveSystem,medium,ict_support
You are from which CCI?,help,low,general
Barnabas Children Home,help,low,general
Hi did you send the details the SCCO asked for the CCI to be created?,greeting,low,general
Did you send the details i had requested,help,low,general
Kindly inbox me the same,Emailaccess,medium,ict_support
Hallo team....where do I find the beneficiaries place in an alternative care on the on the dashboard?,help,low,general
"How do i go about this, i made a mistake entering the child data two times",systemfunctions,low,ict_support
"Hi collegues, I forwarded the documents for sos, mombasa children home, Garden of hope and part of documents of Baby life.",greeting,low,general
"Hellow I have a concern about the update of the above text , kindly try check for my institution if the data is captured coz I updated the data for the kids earlier enough. Waiting the the feedback Institution name Baraka children's home",upda,medium,data_registry
Or are we supposed to update the same data monthly,upda,medium,data_registry
Good progress team.. however SOSCVKE we expected more than that..kindly work on your data towards 100% by April..,help,low,general
Plans for quality data check in your country...pending lockdown uplifting...keep on pressing on...,accountunlocking,medium,ict_support
Kindly admn add this no 0702279878,help,low,general
Good evening Sir Newton.... I can't be able to go on live stream and am from calvary Zion children's home,livestream,low,ict_support
"What is your username,,",help,low,general
We were told our sub county officer will us the username/password and I had submitted the information he requested,passwords,medium,ict_support
To Social worker working for CCIs in Kisauni and Nyali. Kindly inbox me stating,Emailaccess,medium,ict_support
I was waiting for my sub county officer to inbox me my username/password,passwords,medium,ict_support
I can see the CCI in the system but not any account to this Organization. What is your name (Not username) we check.,help,low,general
Faith Wairimu Karigoh,help,low,general
Not yet registered in the system. Kindly follow up with the SCCO.,personregistry,medium,data_registry
I have talked already to Mr. Maina and he told me he will check and I will follow up to tomorrow... Thank you,thanks,low,general
Thank you for the feedback @254722166058 . Expect a higher number from SOS by 11th June.,thanks,low,general
Thanks and may u be blessed,thanks,low,general
Looking forward to see data updated.good morning and thanks Felix.,upda,medium,data_registry
waiting for more resourcefull updates,upda,medium,data_registry
My CCI having trouble to log in. Kindly assist,login,medium,ict_support
I have removed the lock as they have used wrong password 3 times. use the forgot password functionality to reset the password if have forgotten the password.,passwords,medium,ict_support
Hey can I be able to have list of my children data in the system,greeting,low,general
Do you mean getting data out of the system or getting data into the system?,help,low,general
Out of the system,help,low,general
Reports -> Adhoc Reports and use both Case load summary and Population report.,Population,medium,data_registry
No data. Make sure you run for a period with data.,help,low,general
What would be the problem the children am placing do not appear at the dashboard,help,low,general
